"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","60300","B","","","0"
"2010","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","58800","B","","","0"
"2011","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","58300","B","","","0"
"2012","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","61000","A","","","0"
"2013","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","64500","B","","","0"
"2014","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","61100","B","","","0"
"2015","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","60500","B","","","0"
"2016","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","61300","B","","","0"
"2017","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","65700","B","","","0"
"2018","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","64200","B","","","0"
"2019","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","65900","B","","","0"
"2020","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","64400","B","","","0"
"2021","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","70100","A","","","0"
"2022","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","68200","A","","","0"
"2023","British Columbia","2021A000259","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414731","13.4.1","68200","A","","","0"
"2009","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","89000","B","","","0"
"2010","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","86700","B","","","0"
"2011","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","91000","B","","","0"
"2012","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","92100","A","","","0"
"2013","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","94000","B","","","0"
"2014","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","95600","B","","","0"
"2015","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","98900","B","","","0"
"2016","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","95000","B","","","0"
"2017","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","100600","A","","","0"
"2018","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","104100","B","","","0"
"2019","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","103400","B","","","0"
"2020","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","96900","A","","","0"
"2021","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","104400","A","","","0"
"2022","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","106500","A","","","0"
"2023","British Columbia","2021A000259","Median market income","Economic families","2023 constant dollars","449","units","0","v96414732","13.4.2","108200","A","","","0"
"2009","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","31400","D","","","0"
"2010","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","25100","D","","","0"
"2011","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","24600","D","","","0"
"2012","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","25100","D","","","0"
"2013","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","31000","C","","","0"
"2014","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","30600","C","","","0"
"2015","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","21900","D","","","0"
"2016","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","27400","D","","","0"
"2017","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","30400","C","","","0"
"2018","British Columbia","2021A000259","Median market income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414744","13.4.14","30500","C","","","0"
