"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","52100","A","","","0"
"2010","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","52900","A","","","0"
"2011","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","52600","A","","","0"
"2012","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","54000","A","","","0"
"2013","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","53200","A","","","0"
"2014","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","54600","B","","","0"
"2015","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","53500","A","","","0"
"2016","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","54200","A","","","0"
"2017","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","54900","B","","","0"
"2018","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","55100","A","","","0"
"2019","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","57300","A","","","0"
"2020","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","54500","A","","","0"
"2021","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","60300","A","","","0"
"2022","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","59700","A","","","0"
"2023","Quebec","2021A000224","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413291","7.4.1","61200","A","","","0"
