"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","67400","A","","","0"
"2010","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","67100","B","","","0"
"2011","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","65500","A","","","0"
"2012","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","65700","A","","","0"
"2013","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","65800","A","","","0"
"2014","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","68000","B","","","0"
"2015","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","67300","B","","","0"
"2016","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","67500","A","","","0"
"2017","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","68300","A","","","0"
"2018","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","71900","A","","","0"
"2019","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","70200","A","","","0"
"2020","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","68300","A","","","0"
"2021","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","73100","A","","","0"
"2022","Ontario","2021A000235","Median market income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96413531","8.4.1","71800","A","","","0"
